date,symbol,open,high,low,close,volume,quote_volume
2004-08-19,GOOGL,2.481,2.581,2.38,2.489,893181924,2223129808.84
2004-08-20,GOOGL,2.506,2.706,2.493,2.687,456686856,1227117582.07
2004-08-23,GOOGL,2.747,2.815,2.705,2.714,365122512,990942497.57
2004-08-24,GOOGL,2.759,2.768,2.569,2.601,304946748,793166491.55
2004-08-25,GOOGL,2.604,2.679,2.577,2.629,183772044,483136703.68
2004-08-26,GOOGL,2.603,2.678,2.596,2.677,141897960,379860838.92
2004-08-27,GOOGL,2.681,2.694,2.622,2.633,124235640,327112440.12
2004-08-30,GOOGL,2.611,2.617,2.53,2.53,103935960,262957978.8
2004-08-31,GOOGL,2.538,2.573,2.534,2.539,98357544,249729804.22
2004-09-01,GOOGL,2.547,2.554,2.472,2.487,182765052,454536684.32
2004-09-02,GOOGL,2.46,2.539,2.454,2.518,302373324,761376029.83
2004-09-03,GOOGL,2.504,2.524,2.464,2.481,103048848,255664191.89
2004-09-07,GOOGL,2.506,2.53,2.471,2.52,116950932,294716348.64
2004-09-08,GOOGL,2.499,2.556,2.493,2.538,99712188,253069533.14
2004-09-09,GOOGL,2.543,2.548,2.505,2.538,81234684,206173627.99
2004-09-10,GOOGL,2.52,2.643,2.513,2.613,173977848,454604116.82
2004-09-13,GOOGL,2.645,2.689,2.641,2.667,156882960,418406854.32
2004-09-14,GOOGL,2.665,2.778,2.649,2.766,216579204,599058078.26
2004-09-15,GOOGL,2.742,2.833,2.734,2.778,214261524,595218513.67
2004-09-16,GOOGL,2.787,2.872,2.769,2.827,185326488,523917981.58
2004-09-17,GOOGL,2.838,2.914,2.817,2.914,189450360,552058349.04
2004-09-20,GOOGL,2.901,3.016,2.896,2.961,212575212,629435202.73
2004-09-21,GOOGL,2.972,2.987,2.915,2.923,144575280,422593543.44
2004-09-22,GOOGL,2.912,2.968,2.897,2.936,151624224,445168721.66
2004-09-23,GOOGL,2.948,3.042,2.903,2.997,170713116,511627208.65
2004-09-24,GOOGL,3.0,3.078,2.971,2.972,182469348,542298902.26
2004-09-27,GOOGL,2.966,2.998,2.922,2.933,141322536,414498998.09
2004-09-28,GOOGL,3.009,3.16,2.982,3.147,338581080,1065514658.76
2004-09-29,GOOGL,3.143,3.349,3.131,3.251,610329060,1984179774.06
2004-09-30,GOOGL,3.222,3.282,3.2,3.215,275160564,884641213.26
2004-10-01,GOOGL,3.245,3.33,3.197,3.289,302497200,994913290.8
2004-10-04,GOOGL,3.355,3.395,3.325,3.35,260455284,872525201.4
2004-10-05,GOOGL,3.34,3.436,3.28,3.432,299464236,1027761257.95
2004-10-06,GOOGL,3.412,3.434,3.373,3.4,267628104,909935553.6
2004-10-07,GOOGL,3.396,3.47,3.387,3.444,282301416,972246076.7
2004-10-08,GOOGL,3.441,3.465,3.399,3.416,221390388,756269565.41
2004-10-11,GOOGL,3.398,3.444,3.32,3.355,209442348,702679077.54
2004-10-12,GOOGL,3.335,3.413,3.309,3.408,233310456,795122034.05
2004-10-13,GOOGL,3.555,3.561,3.475,3.495,395324280,1381658358.6
2004-10-14,GOOGL,3.498,3.532,3.437,3.522,208842948,735544862.86
2004-10-15,GOOGL,3.595,3.609,3.521,3.575,263895840,943427628.0
2004-10-18,GOOGL,3.552,3.701,3.503,3.7,280726992,1038689870.4
2004-10-19,GOOGL,3.733,3.78,3.655,3.67,362197440,1329264604.8
2004-10-20,GOOGL,3.672,3.696,3.463,3.485,454453092,1583769025.62
2004-10-21,GOOGL,3.582,3.724,3.513,3.705,582996420,2160001736.1
2004-10-22,GOOGL,4.23,4.469,4.07,4.277,1474200324,6305154785.75
2004-10-25,GOOGL,4.376,4.823,4.28,4.648,1309257432,6085428543.94
2004-10-26,GOOGL,4.622,4.778,4.465,4.51,891391716,4020176639.16
2004-10-27,GOOGL,4.532,4.701,4.509,4.613,533725740,2462076838.62
2004-10-28,GOOGL,4.631,4.822,4.604,4.795,593278128,2844768623.76
2004-10-29,GOOGL,4.933,4.96,4.728,4.729,845653500,3999095401.5
2004-11-01,GOOGL,4.801,4.903,4.744,4.863,488507004,2375609560.45
2004-11-02,GOOGL,4.931,4.942,4.796,4.834,453398148,2191726647.43
2004-11-03,GOOGL,4.916,5.001,4.732,4.754,554992452,2638434116.81
2004-11-04,GOOGL,4.674,4.723,4.548,4.581,575807616,2637774688.9
2004-11-05,GOOGL,4.514,4.522,4.181,4.201,792530676,3329421369.88
2004-11-08,GOOGL,4.24,4.352,4.202,4.28,447224328,1914120123.84
2004-11-09,GOOGL,4.319,4.346,4.1,4.185,442125432,1850294932.92
2004-11-10,GOOGL,4.233,4.279,4.126,4.164,425334240,1771091775.36
2004-11-11,GOOGL,4.195,4.558,4.157,4.54,598820580,2718645433.2
2004-11-12,GOOGL,4.595,4.708,4.4,4.515,669174156,3021321314.34
2004-11-15,GOOGL,4.476,4.671,4.434,4.586,475583940,2181027948.84
2004-11-16,GOOGL,4.403,4.452,4.237,4.28,835859304,3577477821.12
2004-11-17,GOOGL,4.193,4.403,4.192,4.279,724590684,3100523536.84
2004-11-18,GOOGL,4.224,4.327,4.111,4.156,664518816,2761740199.3
2004-11-19,GOOGL,4.195,4.216,4.131,4.202,350421228,1472470000.06
2004-11-22,GOOGL,4.08,4.204,4.001,4.095,494233272,2023885248.84
2004-11-23,GOOGL,4.167,4.237,4.13,4.155,496035468,2061027369.54
2004-11-24,GOOGL,4.336,4.396,4.279,4.335,610628760,2647075674.6
2004-11-26,GOOGL,4.361,4.466,4.349,4.45,258944796,1152304342.2
2004-11-29,GOOGL,4.474,4.538,4.403,4.491,426237336,1914231875.98
2004-11-30,GOOGL,4.483,4.539,4.471,4.514,307692000,1388921688.0
2004-12-01,GOOGL,4.513,4.527,4.454,4.464,314249436,1402809482.3
2004-12-02,GOOGL,4.462,4.502,4.429,4.45,250185564,1113325759.8
2004-12-03,GOOGL,4.464,4.491,4.405,4.475,234533232,1049536213.2
2004-12-06,GOOGL,4.443,4.482,4.366,4.373,249909840,1092855730.32
2004-12-07,GOOGL,4.366,4.371,4.231,4.252,274561164,1167434069.33
2004-12-08,GOOGL,4.226,4.308,4.185,4.216,301370328,1270577302.85
2004-12-09,GOOGL,4.223,4.304,4.179,4.302,305853840,1315783219.68
2004-12-10,GOOGL,4.302,4.338,4.249,4.258,172515312,734570198.5
2004-12-13,GOOGL,4.271,4.296,4.203,4.228,192551256,814106710.37
2004-12-14,GOOGL,4.242,4.436,4.207,4.432,443092464,1963785800.45
2004-12-15,GOOGL,4.415,4.482,4.382,4.459,458381160,2043921592.44
2004-12-16,GOOGL,4.389,4.477,4.364,4.377,342569088,1499424898.18
2004-12-17,GOOGL,4.385,4.477,4.379,4.467,295152552,1318446449.78
2004-12-20,GOOGL,4.515,4.675,4.511,4.589,392986620,1803415599.18
2004-12-21,GOOGL,4.621,4.66,4.549,4.558,220431348,1004726084.18
2004-12-22,GOOGL,4.562,4.635,4.54,4.621,156123720,721447710.12
2004-12-23,GOOGL,4.65,4.678,4.614,4.661,144439416,673232117.98
2004-12-27,GOOGL,4.692,4.795,4.691,4.76,243919836,1161058419.36
2004-12-28,GOOGL,4.765,4.801,4.738,4.781,165666168,792049949.21
2004-12-29,GOOGL,4.757,4.8,4.757,4.785,107016876,512075751.66
2004-12-30,GOOGL,4.787,4.917,4.759,4.901,235935828,1156321493.03
2004-12-31,GOOGL,4.942,4.958,4.776,4.782,306433260,1465363849.32
2005-01-03,GOOGL,4.897,5.051,4.848,5.028,633134232,3183398918.5
2005-01-04,GOOGL,4.996,5.034,4.799,4.825,549685764,2652233811.3
2005-01-05,GOOGL,4.799,4.884,4.768,4.8,329134536,1579845772.8
2005-01-06,GOOGL,4.839,4.859,4.656,4.677,415068516,1941275449.33
2005-01-07,GOOGL,4.729,4.818,4.683,4.808,386129484,1856510559.07
2005-01-10,GOOGL,4.825,4.914,4.758,4.838,301282416,1457604328.61
