date,symbol,open,high,low,close,volume,quote_volume
2006-04-28,SLV,12.9,13.98,12.87,13.812,23432000,323642784.0
2006-05-01,SLV,13.92,14.179,13.75,13.87,14835000,205761450.0
2006-05-02,SLV,14.245,14.4,14.1,14.365,12511000,179720515.0
2006-05-03,SLV,14.45,14.464,13.413,13.925,15141000,210838425.0
2006-05-04,SLV,13.95,14.287,13.68,14.0,11075000,155050000.0
2006-05-05,SLV,14.0,14.03,13.75,13.995,6586000,92171070.0
2006-05-08,SLV,13.8,14.0,13.506,14.0,9453000,132342000.0
2006-05-09,SLV,14.098,14.625,14.06,14.5,11054000,160283000.0
2006-05-10,SLV,14.29,14.575,14.25,14.526,13913000,202100238.0
2006-05-11,SLV,15.082,15.25,14.8,14.86,12533000,186240380.0
2006-05-12,SLV,14.89,14.9,14.217,14.464,10129000,146505856.0
2006-05-15,SLV,13.394,13.78,13.204,13.27,12581000,166949870.0
2006-05-16,SLV,13.51,13.675,13.275,13.58,7200000,97776000.0
2006-05-17,SLV,13.555,13.748,12.921,13.09,7821000,102376890.0
2006-05-18,SLV,13.22,13.365,12.602,12.602,8020000,101068040.0
2006-05-19,SLV,12.291,12.683,12.168,12.6,8460000,106596000.0
2006-05-22,SLV,12.398,12.6,12.254,12.515,5949000,74451735.0
2006-05-23,SLV,12.985,13.252,12.89,13.045,8188000,106812460.0
2006-05-24,SLV,12.698,12.895,12.423,12.545,5349000,67103205.0
2006-05-25,SLV,12.555,12.79,12.439,12.685,4998000,63399630.0
2006-05-26,SLV,12.769,12.777,12.49,12.67,3477000,44053590.0
2006-05-30,SLV,13.2,13.36,13.028,13.097,6204000,81253788.0
2006-05-31,SLV,13.065,13.13,12.366,12.628,6342000,80086776.0
2006-06-01,SLV,11.825,12.256,11.81,12.04,8007000,96404280.0
2006-06-02,SLV,12.19,12.311,12.003,12.175,3807000,46350225.0
2006-06-05,SLV,12.28,12.38,12.076,12.092,4317000,52201164.0
2006-06-06,SLV,11.868,11.948,11.68,11.835,6764000,80051940.0
2006-06-07,SLV,11.595,12.043,11.53,11.87,6712000,79671440.0
2006-06-08,SLV,11.688,11.7,11.134,11.235,6754000,75881190.0
2006-06-09,SLV,11.5,11.55,11.103,11.192,4204000,47051168.0
2006-06-12,SLV,11.26,11.323,10.916,10.93,5380000,58803400.0
2006-06-13,SLV,10.373,10.45,9.563,9.625,20708000,199314500.0
2006-06-14,SLV,9.88,9.987,9.549,9.67,9620000,93025400.0
2006-06-15,SLV,10.14,10.351,10.025,10.264,8796000,90282144.0
2006-06-16,SLV,10.167,10.337,9.859,10.29,4103000,42219870.0
2006-06-19,SLV,10.002,10.092,9.915,9.947,3696000,36764112.0
2006-06-20,SLV,10.06,10.35,9.969,10.286,2978000,30631708.0
2006-06-21,SLV,10.264,10.626,10.246,10.5,3908000,41034000.0
2006-06-22,SLV,10.4,10.489,10.245,10.257,2434000,24965538.0
2006-06-23,SLV,10.205,10.475,10.187,10.353,5332000,55202196.0
2006-06-26,SLV,10.42,10.445,10.132,10.317,2010000,20737170.0
2006-06-27,SLV,10.499,10.688,10.214,10.214,5217000,53286438.0
2006-06-28,SLV,10.385,10.387,10.185,10.245,2816000,28849920.0
2006-06-29,SLV,10.409,10.8,10.409,10.782,6410000,69112620.0
2006-06-30,SLV,11.007,11.155,10.934,11.139,7536000,83943504.0
