date,symbol,open,high,low,close,volume,quote_volume
2007-07-26,VEA,27.42,27.528,26.866,27.092,101000,2736292.0
2007-07-27,VEA,27.025,27.172,26.668,26.68,579000,15447720.0
2007-07-30,VEA,27.075,27.228,26.957,27.126,298400,8094398.4
2007-07-31,VEA,27.437,27.528,27.092,27.092,210400,5700156.8
2007-08-01,VEA,26.968,27.715,26.719,27.206,353900,9628203.4
2007-08-02,VEA,27.104,27.228,26.957,27.126,251800,6830326.8
2007-08-03,VEA,27.047,27.047,26.663,26.68,309600,8260128.0
2007-08-06,VEA,26.747,27.092,26.725,27.087,232100,6286892.7
2007-08-07,VEA,26.81,27.285,26.81,27.126,181800,4931506.8
2007-08-08,VEA,27.375,27.658,27.364,27.534,135700,3736363.8
2007-08-09,VEA,26.844,27.064,26.696,26.708,195800,5229426.4
2007-08-10,VEA,26.725,26.725,26.125,26.351,291300,7676046.3
2007-08-13,VEA,26.6,26.646,26.397,26.397,133700,3529278.9
2007-08-14,VEA,26.532,26.532,26.046,26.057,64200,1672859.4
2007-08-15,VEA,25.729,26.012,25.435,25.441,345800,8797497.8
2007-08-16,VEA,25.299,25.333,24.711,25.322,552000,13977744.0
2007-08-17,VEA,25.848,25.848,25.384,25.678,403200,10353369.6
2007-08-20,VEA,25.808,25.808,25.452,25.712,672200,17283606.4
2007-08-21,VEA,25.639,25.808,25.639,25.707,41200,1059128.4
2007-08-22,VEA,26.12,26.351,26.12,26.351,96800,2550776.8
2007-08-23,VEA,26.555,26.589,26.301,26.465,329600,8722864.0
2007-08-24,VEA,26.476,26.889,26.465,26.889,112700,3030390.3
2007-08-27,VEA,26.753,26.753,26.623,26.623,111200,2960477.6
2007-08-28,VEA,26.448,26.448,25.961,25.973,256100,6651685.3
2007-08-29,VEA,26.329,26.668,26.227,26.663,177400,4730016.2
2007-08-30,VEA,26.261,26.657,26.261,26.47,173300,4587251.0
2007-08-31,VEA,27.013,27.138,26.883,27.07,684900,18540243.0
2007-09-04,VEA,26.934,27.251,26.849,27.2,136700,3718240.0
2007-09-05,VEA,26.781,26.815,26.657,26.73,90600,2421738.0
2007-09-06,VEA,26.804,26.957,26.691,26.889,278000,7475142.0
2007-09-07,VEA,26.589,26.623,26.436,26.515,197200,5228758.0
2007-09-10,VEA,26.583,26.606,26.221,26.408,176800,4668934.4
2007-09-11,VEA,26.674,26.889,26.674,26.883,685900,18439049.7
2007-09-12,VEA,26.753,26.962,26.725,26.86,56200,1509532.0
2007-09-13,VEA,26.996,27.098,26.951,27.008,137700,3719001.6
2007-09-14,VEA,26.742,26.94,26.713,26.883,164700,4427630.1
2007-09-17,VEA,26.657,26.691,26.414,26.504,99400,2634497.6
2007-09-18,VEA,26.651,27.42,26.617,27.347,147200,4025478.4
2007-09-19,VEA,27.618,27.788,27.584,27.635,115100,3180788.5
2007-09-20,VEA,27.652,27.771,27.568,27.579,378600,10441409.4
2007-09-21,VEA,27.788,27.867,27.709,27.777,212800,5910945.6
2007-09-24,VEA,27.907,27.907,27.72,27.748,165400,4589519.2
2007-09-25,VEA,27.681,27.884,27.652,27.884,56100,1564292.4
2007-09-26,VEA,28.02,28.048,27.907,27.986,94000,2630684.0
2007-09-27,VEA,28.314,28.325,28.184,28.32,191900,5434608.0
2007-09-28,VEA,28.359,28.456,28.218,28.359,258000,7316622.0
2007-10-01,VEA,28.359,28.795,28.359,28.767,640000,18410880.0
2007-10-02,VEA,28.716,28.721,28.552,28.676,375000,10753500.0
2007-10-03,VEA,28.631,28.648,28.501,28.518,581100,16571809.8
2007-10-04,VEA,28.636,28.687,28.518,28.642,815600,23360415.2
2007-10-05,VEA,28.767,28.987,28.761,28.919,405800,11735330.2
2007-10-08,VEA,28.727,28.733,28.591,28.642,245200,7023018.4
2007-10-09,VEA,28.71,28.998,28.71,28.998,183200,5312433.6
2007-10-10,VEA,28.868,28.953,28.801,28.914,202700,5860867.8
2007-10-11,VEA,29.23,29.366,29.004,29.055,154000,4474470.0
2007-10-12,VEA,29.015,29.202,28.97,29.14,180400,5256856.0
2007-10-15,VEA,29.134,29.14,28.812,28.891,299500,8652854.5
2007-10-16,VEA,28.603,28.631,28.456,28.495,476200,13569319.0
2007-10-17,VEA,28.868,28.885,28.603,28.789,266400,7669389.6
2007-10-18,VEA,28.761,28.914,28.727,28.857,165100,4764290.7
2007-10-19,VEA,28.699,28.704,28.235,28.252,365600,10328931.2
2007-10-22,VEA,28.026,28.167,27.935,28.156,493200,13886539.2
2007-10-23,VEA,28.546,28.625,28.376,28.62,408300,11685546.0
2007-10-24,VEA,28.495,28.54,28.127,28.529,197500,5634477.5
2007-10-25,VEA,28.552,28.659,28.433,28.631,513000,14687703.0
2007-10-26,VEA,28.993,29.196,28.953,29.168,79500,2318856.0
2007-10-29,VEA,29.242,29.44,29.242,29.434,135500,3988307.0
2007-10-30,VEA,29.225,29.304,29.208,29.219,126000,3681594.0
2007-10-31,VEA,29.372,29.751,29.298,29.615,247300,7323789.5
2007-11-01,VEA,29.157,29.157,28.874,28.874,514500,14855673.0
2007-11-02,VEA,28.908,29.078,28.767,29.044,390400,11338777.6
2007-11-05,VEA,28.58,28.767,28.546,28.71,268000,7694280.0
2007-11-06,VEA,29.01,29.117,28.874,29.117,191100,5564258.7
2007-11-07,VEA,28.942,29.032,28.523,28.557,634900,18130839.3
2007-11-08,VEA,28.71,28.789,28.393,28.75,358900,10318375.0
2007-11-09,VEA,28.648,28.648,28.02,28.077,221900,6230286.3
2007-11-12,VEA,27.845,28.009,27.596,27.63,254500,7031835.0
2007-11-13,VEA,28.099,28.455,28.088,28.444,346200,9847312.8
