date,symbol,open,high,low,close,volume,quote_volume
2015-04-16,VIRT,14.428,14.849,13.795,13.914,15680100,218172911.4
2015-04-17,VIRT,14.083,15.024,13.983,14.215,3868900,54996413.5
2015-04-20,VIRT,15.118,15.213,14.341,14.403,1960800,28241402.4
2015-04-21,VIRT,14.428,14.598,13.832,14.021,1242600,17422494.6
2015-04-22,VIRT,14.115,14.235,13.45,13.682,936200,12809088.4
2015-04-23,VIRT,13.676,14.209,13.563,14.177,447700,6347042.9
2015-04-24,VIRT,14.353,14.378,13.895,13.898,746800,10379026.4
2015-04-27,VIRT,14.052,14.052,13.193,13.331,1184600,15791902.6
2015-04-28,VIRT,13.343,13.663,13.017,13.6,721800,9816480.0
2015-04-29,VIRT,13.374,13.817,13.274,13.368,293800,3927518.4
2015-04-30,VIRT,13.443,13.757,13.191,13.418,434300,5827437.4
2015-05-01,VIRT,13.55,13.594,13.362,13.425,306500,4114762.5
2015-05-04,VIRT,13.45,13.601,13.193,13.268,659800,8754226.4
2015-05-05,VIRT,13.418,13.707,13.343,13.669,457700,6256301.3
2015-05-06,VIRT,14.014,14.115,13.707,13.889,844000,11722316.0
2015-05-07,VIRT,14.083,14.083,13.989,14.046,470000,6601620.0
2015-05-08,VIRT,14.096,14.397,13.964,13.989,673500,9421591.5
2015-05-11,VIRT,13.763,14.29,13.607,14.127,762400,10770424.8
2015-05-12,VIRT,14.146,14.234,13.933,14.002,259800,3637719.6
2015-05-13,VIRT,13.996,14.096,13.644,13.701,521200,7140961.2
2015-05-14,VIRT,13.945,13.945,13.556,13.782,545400,7516702.8
2015-05-15,VIRT,13.713,14.021,13.707,13.958,282200,3938947.6
2015-05-18,VIRT,13.82,13.92,13.55,13.826,454200,6279769.2
2015-05-19,VIRT,13.682,14.033,13.682,13.939,304800,4248607.2
2015-05-20,VIRT,13.851,13.989,13.807,13.983,251700,3519521.1
2015-05-21,VIRT,13.814,13.989,13.607,13.82,217300,3003086.0
2015-05-22,VIRT,13.719,13.958,13.719,13.87,168200,2332934.0
2015-05-26,VIRT,13.914,13.958,13.726,13.889,173100,2404185.9
2015-05-27,VIRT,13.876,14.159,13.757,14.058,343900,4834546.2
2015-05-28,VIRT,14.046,14.058,13.776,13.87,188400,2613108.0
2015-05-29,VIRT,13.826,13.92,13.563,13.735,294500,4044957.5
2015-06-01,VIRT,13.77,13.895,13.726,13.745,213600,2935932.0
2015-06-02,VIRT,13.738,13.989,13.738,13.92,299100,4163472.0
2015-06-03,VIRT,13.851,14.598,13.825,14.504,590400,8563161.6
2015-06-04,VIRT,14.554,14.617,14.193,14.272,338300,4828217.6
2015-06-05,VIRT,14.228,14.711,14.209,14.529,244900,3558152.1
2015-06-08,VIRT,14.516,14.805,14.428,14.692,342300,5029071.6
2015-06-09,VIRT,14.742,14.83,14.447,14.51,310000,4498100.0
2015-06-10,VIRT,14.51,14.88,14.46,14.723,186400,2744367.2
2015-06-11,VIRT,14.711,14.987,14.541,14.623,370900,5423670.7
2015-06-12,VIRT,14.535,14.635,14.366,14.566,164200,2391737.2
2015-06-15,VIRT,14.51,14.767,14.453,14.723,212900,3134526.7
2015-06-16,VIRT,14.742,15.432,14.742,15.194,691500,10506651.0
2015-06-17,VIRT,15.169,15.501,14.93,15.118,656700,9927990.6
2015-06-18,VIRT,15.181,15.275,14.83,14.874,531600,7907018.4
2015-06-19,VIRT,14.824,15.024,14.491,14.535,1552400,22564134.0
2015-06-22,VIRT,14.698,14.893,14.472,14.635,362200,5300797.0
2015-06-23,VIRT,14.698,14.736,14.46,14.529,394300,5728784.7
2015-06-24,VIRT,14.41,14.739,14.41,14.598,360800,5266958.4
2015-06-25,VIRT,14.686,14.698,14.209,14.315,403100,5770376.5
2015-06-26,VIRT,14.272,14.548,14.127,14.203,2677600,38029952.8
2015-06-29,VIRT,14.077,14.78,13.814,14.548,626600,9115776.8
2015-06-30,VIRT,14.717,14.773,14.309,14.729,447700,6594173.3
2015-07-01,VIRT,14.88,14.918,14.566,14.711,677600,9968173.6
2015-07-02,VIRT,14.742,14.783,14.413,14.692,404900,5948790.8
2015-07-06,VIRT,14.491,15.106,14.479,15.062,320600,4828877.2
2015-07-07,VIRT,15.068,15.125,14.692,14.937,431000,6437847.0
2015-07-08,VIRT,14.78,15.263,14.78,15.238,435800,6640720.4
2015-07-09,VIRT,14.824,15.539,14.824,15.043,381100,5732887.3
2015-07-10,VIRT,14.817,15.202,14.692,15.006,361800,5429170.8
2015-07-13,VIRT,14.893,15.133,14.849,15.118,326900,4942074.2
2015-07-14,VIRT,15.056,15.125,14.755,15.012,281800,4230381.6
2015-07-15,VIRT,15.131,15.213,14.88,15.081,467800,7054891.8
2015-07-16,VIRT,15.363,15.463,15.037,15.093,249500,3765703.5
2015-07-17,VIRT,15.049,15.162,14.98,15.031,169700,2550760.7
2015-07-20,VIRT,15.043,15.219,14.805,14.867,403700,6001807.9
2015-07-21,VIRT,14.811,14.88,14.554,14.648,381100,5582352.8
2015-07-22,VIRT,14.585,14.824,14.585,14.798,232200,3436095.6
2015-07-23,VIRT,14.805,14.905,14.497,14.522,350600,5091413.2
2015-07-24,VIRT,14.491,14.686,14.491,14.686,252700,3711152.2
2015-07-27,VIRT,14.516,14.943,14.497,14.924,183800,2743031.2
2015-07-28,VIRT,14.968,14.968,14.729,14.836,147100,2182375.6
